,Estimator,Sample number,True MI,Estimate,Ambient dimensions,Intrinsic dimensions
1350,MINE,8000,1,0.84955749097499,25,2
1351,KSG,8000,1,0.3333346630349671,25,2
1352,InfoNCE,8000,1,0.7738957875197078,37,3
1353,LMI,8000,1,0.8200681751930162,37,3
1354,MINE,8000,1,0.8004921305537122,37,3
1355,KSG,8000,1,0.20990650170842798,37,3
1356,InfoNCE,8000,1,0.7436405995799225,50,5
1357,LMI,8000,1,0.6819545511715762,50,5
1358,MINE,8000,1,0.6624608327717069,50,5
1359,KSG,8000,1,0.20864843009442377,50,5
1360,InfoNCE,9000,1,0.983520625142161,1,1
1361,LMI,9000,1,0.9825057404482719,1,1
1362,MINE,9000,1,0.9757693670677743,1,1
1363,KSG,9000,1,1.0016735179068674,1,1
1364,InfoNCE,9000,1,0.9663856496713976,13,1
1365,LMI,9000,1,1.031003628772908,13,1
1366,MINE,9000,1,0.9118965583811849,13,1
1367,KSG,9000,1,0.5050852378751889,13,1
1368,InfoNCE,9000,1,0.8755733065710071,25,2
1369,LMI,9000,1,0.983680024391155,25,2
1370,MINE,9000,1,0.8073544962971145,25,2
1371,KSG,9000,1,0.3322350621591124,25,2
1372,InfoNCE,9000,1,0.7690486284877903,37,3
1373,LMI,9000,1,0.8298480127117452,37,3
1374,MINE,9000,1,0.7802443550936574,37,3
1375,KSG,9000,1,0.26595519195352113,37,3
1376,InfoNCE,9000,1,0.7331345234040152,50,5
1377,LMI,9000,1,0.6907729084029578,50,5
1378,MINE,9000,1,0.696628798001272,50,5
1379,KSG,9000,1,0.17854580084753544,50,5
1380,InfoNCE,10000,1,0.9737327485162569,1,1
1381,LMI,10000,1,0.9570463614831478,1,1
1382,MINE,10000,1,0.9229896113444869,1,1
1383,KSG,10000,1,0.9770943318704701,1,1
1384,InfoNCE,10000,1,0.9487388538316666,13,1
1385,LMI,10000,1,0.9702671777311249,13,1
1386,MINE,10000,1,0.8987522683410422,13,1
1387,KSG,10000,1,0.5054812586225965,13,1
1388,InfoNCE,10000,1,0.8903651904064156,25,2
1389,LMI,10000,1,0.9151226915010581,25,2
1390,MINE,10000,1,0.9218709501919498,25,2
1391,KSG,10000,1,0.35563928478513934,25,2
1392,InfoNCE,10000,1,0.8330509401104794,37,3
1393,LMI,10000,1,0.7956850479698955,37,3
1394,MINE,10000,1,0.7830579052704476,37,3
1395,KSG,10000,1,0.26029944403025285,37,3
1396,InfoNCE,10000,1,0.7558747574316992,50,5
1397,LMI,10000,1,0.6940863456151697,50,5
1398,MINE,10000,1,0.7338909031025098,50,5
1399,KSG,10000,1,0.20143090276919504,50,5
1400,InfoNCE,1000,1,0.9383455982747253,1,1
1401,LMI,1000,1,1.1644697542883482,1,1
1402,MINE,1000,1,1.0624656493850653,1,1
1403,KSG,1000,1,1.1117313074778388,1,1
1404,InfoNCE,1000,1,0.08017418424862068,13,1
1405,LMI,1000,1,0.842381482488938,13,1
1406,MINE,1000,1,0.6231148138899644,13,1
1407,KSG,1000,1,0.3321826897278896,13,1
1408,InfoNCE,1000,1,-2.7627554448230893,25,2
1409,LMI,1000,1,0.7035173612687033,25,2
1410,MINE,1000,1,-1.7996367775874813,25,2
