,SPRING1,SPRING2,Neutrophil PT,pMI,smooth pMI
85639,-75.631,633.321,13239.0,0.26679785037857184,0.47074219549798163
90772,170.195,500.494,13300.0,0.3153039331159676,0.4676551500939321
100446,-195.926,707.021,13319.0,0.506534276875142,0.4649366061448161
93823,-38.052,470.64,13392.0,0.4490062276819903,0.46386012522616676
41635,205.67,383.328,13421.0,0.6201439484217276,0.46636565977947053
59841,380.706,354.968,13430.0,0.5730219931517637,0.46758422776266445
98451,225.636,382.191,13457.0,0.42513434001438855,0.464918779375871
41938,285.045,404.37,13464.0,0.19261004030318307,0.4578387815729142
44201,315.934,455.844,13492.0,0.36595838191756763,0.45339587613471627
93193,-21.973,494.346,13500.0,0.3209296520351884,0.45521813353010177
103822,368.174,363.523,13507.0,0.17432902028447325,0.4596307576628902
105404,169.028,457.997,13524.0,0.6459378297994942,0.46260183121764425
92259,-22.507,566.01,13535.0,0.7475976091465198,0.4682386242087608
94021,-116.977,417.238,13585.0,0.07803240036123187,0.4644454487709493
91618,176.132,224.596,13586.0,0.4924913417482296,0.4641481078997256
105146,377.857,287.71,13594.0,0.4686242200098805,0.464715397646375
20276,14.811,583.606,13595.0,-0.10752430625461988,0.46165892522060625
45414,403.23,409.711,13615.0,0.24151046595804723,0.4568332532130225
87533,203.056,291.688,13626.0,0.8287969945597033,0.46041695743463534
101999,75.124,425.451,13632.0,0.9554484494393394,0.4666464138359958
87621,148.021,419.27,13675.0,0.6713286380728619,0.4630554347681171
96371,10.042,439.369,13684.0,0.6050199663068518,0.46381175547806464
100106,257.54,414.414,13696.0,0.5514604019892597,0.4675883861803471
86596,24.049,407.555,13743.0,0.5871413202228493,0.4663709327578489
95838,-27.606,549.397,13756.0,0.5931338029782791,0.46922554116215737
68529,282.746,358.578,13768.0,0.48534324517585736,0.4717588126005964
15741,98.419,377.903,13813.0,0.8411740974117101,0.47632646133056605
10650,-17.245,452.255,13834.0,-0.3432250805882715,0.46694989158440753
103712,95.18,654.833,13841.0,0.3248529375249337,0.46578353725991567
46726,333.747,346.309,13872.0,0.05733750854984494,0.4609480975885541
29180,49.613,417.067,13884.0,0.6944728146803754,0.46518624872449815
