,Estimate,True MI,Regularizer,Alpha,Lambda,Time
38,-0.03305735986045562,0.04040404040404041,models.AECross,1,1,1.9847383499145508
39,-0.004403256429870789,0.04040404040404041,models.AEMINE,1,0,1.8990905284881592
40,-0.038170446476646046,0.04040404040404041,models.AEMINE,0,1,0.36004161834716797
41,0.021410456809032915,0.04040404040404041,models.AEMINE,1,1,1.8703198432922363
42,0.05607042375385933,0.04040404040404041,models.AEInfoNCE,1,0,1.9439194202423096
43,0.05489022350213229,0.04040404040404041,models.AEInfoNCE,0,1,1.4272425174713135
44,0.13115402565461698,0.04040404040404041,models.AEInfoNCE,1,1,2.0998876094818115
45,0.09581098717901683,0.05050505050505051,models.AECross,1,0,1.9632980823516846
46,0.034438300578255816,0.05050505050505051,models.AECross,0,1,1.3527846336364746
47,0.06770658192311212,0.05050505050505051,models.AECross,1,1,1.9485909938812256
48,0.060457809602734475,0.05050505050505051,models.AEMINE,1,0,1.9036831855773926
49,0.05626123158467491,0.05050505050505051,models.AEMINE,0,1,0.5831882953643799
50,0.059923496858351626,0.05050505050505051,models.AEMINE,1,1,1.889742374420166
51,0.09158193101797858,0.05050505050505051,models.AEInfoNCE,1,0,1.9683821201324463
52,0.14225095409081467,0.05050505050505051,models.AEInfoNCE,0,1,1.6487879753112793
53,-0.020777057066486783,0.05050505050505051,models.AEInfoNCE,1,1,1.9870414733886719
54,0.02571842196159691,0.06060606060606061,models.AECross,1,0,1.9904508590698242
55,-0.038196966420068264,0.06060606060606061,models.AECross,0,1,1.2707750797271729
56,0.07469341760239998,0.06060606060606061,models.AECross,1,1,1.9784307479858398
57,0.02485662155121352,0.06060606060606061,models.AEMINE,1,0,1.907806396484375
58,0.046541241450833125,0.06060606060606061,models.AEMINE,0,1,0.387420654296875
59,-0.025295138813899783,0.06060606060606061,models.AEMINE,1,1,1.882951021194458
60,0.09210181452048949,0.06060606060606061,models.AEInfoNCE,1,0,1.965318202972412
61,0.07142211237760454,0.06060606060606061,models.AEInfoNCE,0,1,1.2250590324401855
62,0.049890618243251375,0.06060606060606061,models.AEInfoNCE,1,1,1.9756109714508057
63,0.09679535191310161,0.07070707070707072,models.AECross,1,0,1.9789338111877441
64,0.09481932727329391,0.07070707070707072,models.AECross,0,1,1.1980865001678467
65,-0.0017571793218940162,0.07070707070707072,models.AECross,1,1,1.9697728157043457
66,0.06684607819152122,0.07070707070707072,models.AEMINE,1,0,1.8859162330627441
67,0.09333969962560414,0.07070707070707072,models.AEMINE,0,1,0.45444178581237793
68,0.08192965766346705,0.07070707070707072,models.AEMINE,1,1,1.8780450820922852
69,0.029452014106833332,0.07070707070707072,models.AEInfoNCE,1,0,1.9372634887695312
70,0.02480585110727957,0.07070707070707072,models.AEInfoNCE,0,1,1.3130593299865723
71,0.08567178643789942,0.07070707070707072,models.AEInfoNCE,1,1,1.9521572589874268
72,0.018001572325420226,0.08080808080808081,models.AECross,1,0,1.980715274810791
73,0.018830304794376522,0.08080808080808081,models.AECross,0,1,1.351370096206665
74,0.09166014470300218,0.08080808080808081,models.AECross,1,1,1.9605200290679932
75,0.02969705007459031,0.08080808080808081,models.AEMINE,1,0,1.902273178100586
76,-0.01794385365407153,0.08080808080808081,models.AEMINE,0,1,0.9286119937896729
77,0.06865872395850543,0.08080808080808081,models.AEMINE,1,1,1.9056494235992432
78,0.0014862115197429517,0.08080808080808081,models.AEInfoNCE,1,0,1.9849722385406494
79,0.014935948653382259,0.08080808080808081,models.AEInfoNCE,0,1,1.4865479469299316
80,0.0766781471875265,0.08080808080808081,models.AEInfoNCE,1,1,1.9670546054840088
81,0.08311518574135932,0.09090909090909091,models.AECross,1,0,1.9925265312194824
82,0.08223001098035174,0.09090909090909091,models.AECross,0,1,1.5914957523345947
83,0.1167318818138265,0.09090909090909091,models.AECross,1,1,1.9807941913604736
84,0.025482351991734375,0.09090909090909091,models.AEMINE,1,0,1.9093611240386963
85,0.05877410656302649,0.09090909090909091,models.AEMINE,0,1,0.6093337535858154
86,0.08479301857666581,0.09090909090909091,models.AEMINE,1,1,1.8982746601104736
87,0.16374943562027217,0.09090909090909091,models.AEInfoNCE,1,0,1.970546007156372
88,0.1410549097647582,0.09090909090909091,models.AEInfoNCE,0,1,1.4211266040802002
89,0.07308839273511131,0.09090909090909091,models.AEInfoNCE,1,1,1.9489185810089111
90,0.21179023874888642,0.10101010101010102,models.AECross,1,0,1.9935646057128906
91,0.07512143311902382,0.10101010101010102,models.AECross,0,1,1.3315773010253906
92,0.20797883562013322,0.10101010101010102,models.AECross,1,1,1.9595234394073486
93,0.16049160971448878,0.10101010101010102,models.AEMINE,1,0,1.9260177612304688
94,0.21927652940273848,0.10101010101010102,models.AEMINE,0,1,1.2191576957702637
95,0.08569991905144393,0.10101010101010102,models.AEMINE,1,1,1.8774847984313965
96,0.1398939398059486,0.10101010101010102,models.AEInfoNCE,1,0,1.9525880813598633
97,0.10252044381773613,0.10101010101010102,models.AEInfoNCE,0,1,1.589362621307373
98,0.09596840483403116,0.10101010101010102,models.AEInfoNCE,1,1,1.9027824401855469
99,0.19064680102274792,0.11111111111111112,models.AECross,1,0,1.9710545539855957
100,0.143275014439473,0.11111111111111112,models.AECross,0,1,1.5616424083709717
101,0.04958073441937957,0.11111111111111112,models.AECross,1,1,1.977778434753418
102,0.0712250209313478,0.11111111111111112,models.AEMINE,1,0,1.883101463317871
103,0.07077009913207936,0.11111111111111112,models.AEMINE,0,1,1.1965723037719727
104,0.1686214989827238,0.11111111111111112,models.AEMINE,1,1,1.8715906143188477
105,0.10270153239051123,0.11111111111111112,models.AEInfoNCE,1,0,1.9701080322265625
106,0.11709720592344594,0.11111111111111112,models.AEInfoNCE,0,1,0.8617990016937256
107,0.09139116272400344,0.11111111111111112,models.AEInfoNCE,1,1,1.9510471820831299
108,0.20577023271674308,0.12121212121212122,models.AECross,1,0,1.9793708324432373
109,0.16906016614114167,0.12121212121212122,models.AECross,0,1,1.5078625679016113
110,0.10809008622780616,0.12121212121212122,models.AECross,1,1,1.9798667430877686
111,0.13411475976100096,0.12121212121212122,models.AEMINE,1,0,1.9204046726226807
112,0.11493733772292854,0.12121212121212122,models.AEMINE,0,1,1.1590662002563477
113,0.05158583934264425,0.12121212121212122,models.AEMINE,1,1,1.8865585327148438
114,0.14939628760516147,0.12121212121212122,models.AEInfoNCE,1,0,1.9668030738830566
115,0.11264203218432214,0.12121212121212122,models.AEInfoNCE,0,1,1.1005597114562988
116,0.17672382424883082,0.12121212121212122,models.AEInfoNCE,1,1,1.9748384952545166
117,0.14587517163616215,0.13131313131313133,models.AECross,1,0,1.9863083362579346
118,0.09896021107298256,0.13131313131313133,models.AECross,0,1,1.53495454788208
119,0.1476255110750821,0.13131313131313133,models.AECross,1,1,1.9761338233947754
120,0.10785076948166651,0.13131313131313133,models.AEMINE,1,0,1.8727478981018066
121,0.1448879623854451,0.13131313131313133,models.AEMINE,0,1,0.9105217456817627
122,0.06502772605330862,0.13131313131313133,models.AEMINE,1,1,1.8797471523284912
123,0.10335975419545243,0.13131313131313133,models.AEInfoNCE,1,0,1.9541664123535156
124,0.022209517696647228,0.13131313131313133,models.AEInfoNCE,0,1,0.35259008407592773
