,True MI,Ambient dimensions,Intrinsic dimensions,Estimator,Estimate
52,1.7777777777777777,10,1,LMI-InfoNCE,1.6516948190965253
53,1.7777777777777777,10,1,LMI-MINE,1.7276964077954917
54,2.0,10,1,InfoNCE,1.6213616254949044
55,2.0,10,1,MINE,1.7496436567561242
56,2.0,10,1,KSG,0.8271107883176672
57,2.0,10,1,LMI,1.9010154316161196
58,2.0,10,1,LMI-InfoNCE,1.9152195959338496
59,2.0,10,1,LMI-MINE,1.9797146923109563
60,0.0,20,1,InfoNCE,0.0
61,0.0,20,1,MINE,0.0
62,0.0,20,1,KSG,0.010134034736876588
63,0.0,20,1,LMI,-0.012053175523461395
64,0.0,20,1,LMI-InfoNCE,-0.0186241896112568
65,0.0,20,1,LMI-MINE,0.0553897240273732
66,0.2222222222222222,20,1,InfoNCE,0.0
67,0.2222222222222222,20,1,MINE,0.061955030146818184
68,0.2222222222222222,20,1,KSG,0.09211728031675333
69,0.2222222222222222,20,1,LMI,0.21459292870871166
70,0.2222222222222222,20,1,LMI-InfoNCE,0.18121463329420737
71,0.2222222222222222,20,1,LMI-MINE,0.1621803850303624
72,0.4444444444444444,20,1,InfoNCE,0.0
73,0.4444444444444444,20,1,MINE,0.11945828937605257
74,0.4444444444444444,20,1,KSG,0.15950511138762022
75,0.4444444444444444,20,1,LMI,0.3052252719707484
76,0.4444444444444444,20,1,LMI-InfoNCE,0.36754519511051825
77,0.4444444444444444,20,1,LMI-MINE,0.3248598876619203
78,0.6666666666666666,20,1,InfoNCE,0.0
79,0.6666666666666666,20,1,MINE,0.49063640594769203
80,0.6666666666666666,20,1,KSG,0.2544357677529401
81,0.6666666666666666,20,1,LMI,0.6808389353282046
82,0.6666666666666666,20,1,LMI-InfoNCE,0.6771664359773765
83,0.6666666666666666,20,1,LMI-MINE,0.6176176305022314
84,0.8888888888888888,20,1,InfoNCE,0.0
85,0.8888888888888888,20,1,MINE,0.7260748075687478
86,0.8888888888888888,20,1,KSG,0.2725812314859433
87,0.8888888888888888,20,1,LMI,0.8214489428994441
88,0.8888888888888888,20,1,LMI-InfoNCE,0.8506854412381001
89,0.8888888888888888,20,1,LMI-MINE,0.7947472460477181
90,1.1111111111111112,20,1,InfoNCE,0.5230460205548357
91,1.1111111111111112,20,1,MINE,0.9637921512963865
92,1.1111111111111112,20,1,KSG,0.3370359501287242
93,1.1111111111111112,20,1,LMI,1.0878088307925746
94,1.1111111111111112,20,1,LMI-InfoNCE,1.0479781759164322
95,1.1111111111111112,20,1,LMI-MINE,1.1078182344998388
96,1.3333333333333333,20,1,InfoNCE,0.7254757919957926
97,1.3333333333333333,20,1,MINE,1.0832463990801438
98,1.3333333333333333,20,1,KSG,0.27517743836065395
99,1.3333333333333333,20,1,LMI,1.2665862711182085
100,1.3333333333333333,20,1,LMI-InfoNCE,1.1524330150491864
101,1.3333333333333333,20,1,LMI-MINE,1.1969270042089617
102,1.5555555555555554,20,1,InfoNCE,0.8514221268756446
103,1.5555555555555554,20,1,MINE,1.3180729724207552
104,1.5555555555555554,20,1,KSG,0.34229531361987436
105,1.5555555555555554,20,1,LMI,1.383175015400525
106,1.5555555555555554,20,1,LMI-InfoNCE,1.46022272425795
107,1.5555555555555554,20,1,LMI-MINE,1.528917320243046
108,1.7777777777777777,20,1,InfoNCE,0.657426384633
109,1.7777777777777777,20,1,MINE,1.3692979189889172
110,1.7777777777777777,20,1,KSG,0.36528532336369735
111,1.7777777777777777,20,1,LMI,1.7152604229979984
112,1.7777777777777777,20,1,LMI-InfoNCE,1.6179245673607823
113,1.7777777777777777,20,1,LMI-MINE,1.6964345594518404
114,2.0,20,1,InfoNCE,1.4470840381389822
115,2.0,20,1,MINE,1.7608942458276164
116,2.0,20,1,KSG,0.42319781380918986
117,2.0,20,1,LMI,1.8563181080406297
118,2.0,20,1,LMI-InfoNCE,1.9246841315298544
119,2.0,20,1,LMI-MINE,1.9853928362749855
120,0.0,30,1,InfoNCE,0.0
121,0.0,30,1,MINE,0.0
122,0.0,30,1,KSG,0.006647580188849288
123,0.0,30,1,LMI,0.05182884261968347
124,0.0,30,1,LMI-InfoNCE,-0.02530912117308728
125,0.0,30,1,LMI-MINE,-0.014824160678529232
126,0.2222222222222222,30,1,InfoNCE,0.0
127,0.2222222222222222,30,1,MINE,0.13216668938758352
128,0.2222222222222222,30,1,KSG,0.05727956156693212
129,0.2222222222222222,30,1,LMI,0.2068758679610518
130,0.2222222222222222,30,1,LMI-InfoNCE,0.20323549168485688
131,0.2222222222222222,30,1,LMI-MINE,0.16608603176041245
132,0.4444444444444444,30,1,InfoNCE,0.0
133,0.4444444444444444,30,1,MINE,0.27751679486838104
134,0.4444444444444444,30,1,KSG,0.06759330451328638
135,0.4444444444444444,30,1,LMI,0.3654613517515294
136,0.4444444444444444,30,1,LMI-InfoNCE,0.39604579421309216
137,0.4444444444444444,30,1,LMI-MINE,0.4418618597348308
138,0.6666666666666666,30,1,InfoNCE,0.0
139,0.6666666666666666,30,1,MINE,0.0
140,0.6666666666666666,30,1,KSG,0.16405724450853876
141,0.6666666666666666,30,1,LMI,0.5656807549959758
142,0.6666666666666666,30,1,LMI-InfoNCE,0.6371463646843067
143,0.6666666666666666,30,1,LMI-MINE,0.6353121209618866
144,0.8888888888888888,30,1,InfoNCE,0.25560955881015107
145,0.8888888888888888,30,1,MINE,0.5058444877981885
146,0.8888888888888888,30,1,KSG,0.16166075775781297
147,0.8888888888888888,30,1,LMI,0.8823381203347459
148,0.8888888888888888,30,1,LMI-InfoNCE,0.9746431600868244
149,0.8888888888888888,30,1,LMI-MINE,0.8900588077720082
150,1.1111111111111112,30,1,InfoNCE,0.0
151,1.1111111111111112,30,1,MINE,0.5078362188778307
152,1.1111111111111112,30,1,KSG,0.22632292478465443
153,1.1111111111111112,30,1,LMI,1.0297724964412998
154,1.1111111111111112,30,1,LMI-InfoNCE,1.0402492401910963
155,1.1111111111111112,30,1,LMI-MINE,1.1643244271564837
156,1.3333333333333333,30,1,InfoNCE,0.15544823880885822
157,1.3333333333333333,30,1,MINE,0.46942681751268706
158,1.3333333333333333,30,1,KSG,0.190749477159545
159,1.3333333333333333,30,1,LMI,1.1796064989844526
160,1.3333333333333333,30,1,LMI-InfoNCE,1.1903324739422265
161,1.3333333333333333,30,1,LMI-MINE,1.2040552802336144
162,1.5555555555555554,30,1,InfoNCE,0.5090638310396894
163,1.5555555555555554,30,1,MINE,1.3796945282075503
164,1.5555555555555554,30,1,KSG,0.22339042013515423
165,1.5555555555555554,30,1,LMI,1.3279601038086735
166,1.5555555555555554,30,1,LMI-InfoNCE,1.3693140348074015
167,1.5555555555555554,30,1,LMI-MINE,1.4600768173911811
168,1.7777777777777777,30,1,InfoNCE,0.6686582275955483
169,1.7777777777777777,30,1,MINE,1.3016293672064603
170,1.7777777777777777,30,1,KSG,0.2341270040201831
171,1.7777777777777777,30,1,LMI,1.6470841411044321
172,1.7777777777777777,30,1,LMI-InfoNCE,1.650230831637573
173,1.7777777777777777,30,1,LMI-MINE,1.7635281233320457
174,2.0,30,1,InfoNCE,0.49035143069521236
175,2.0,30,1,MINE,1.488104652092176
176,2.0,30,1,KSG,0.2598608192287524
177,2.0,30,1,LMI,1.8259162165381395
178,2.0,30,1,LMI-InfoNCE,1.8358784695810184
179,2.0,30,1,LMI-MINE,1.8943031394067862
180,0.0,40,1,InfoNCE,0.0
181,0.0,40,1,MINE,0.0
182,0.0,40,1,KSG,-0.044550193184474396
183,0.0,40,1,LMI,-0.020875748505340925
184,0.0,40,1,LMI-InfoNCE,-0.041745495437920284
185,0.0,40,1,LMI-MINE,-0.030257876942024448
186,0.2222222222222222,40,1,InfoNCE,0.0
187,0.2222222222222222,40,1,MINE,0.0
188,0.2222222222222222,40,1,KSG,0.05042248218466555
189,0.2222222222222222,40,1,LMI,0.19716024316037564
190,0.2222222222222222,40,1,LMI-InfoNCE,0.287562852025452
191,0.2222222222222222,40,1,LMI-MINE,0.16706678677865916
192,0.4444444444444444,40,1,InfoNCE,0.0
193,0.4444444444444444,40,1,MINE,0.11948924625320788
194,0.4444444444444444,40,1,KSG,0.08651725199038364
195,0.4444444444444444,40,1,LMI,0.41721149984688577
196,0.4444444444444444,40,1,LMI-InfoNCE,0.4232493064845414
197,0.4444444444444444,40,1,LMI-MINE,0.4319950378114651
198,0.6666666666666666,40,1,InfoNCE,0.0
199,0.6666666666666666,40,1,MINE,0.2225806346772504
200,0.6666666666666666,40,1,KSG,0.030071682220210588
201,0.6666666666666666,40,1,LMI,0.5521793334215991
202,0.6666666666666666,40,1,LMI-InfoNCE,0.7025709833984232
203,0.6666666666666666,40,1,LMI-MINE,0.5798329530640844
204,0.8888888888888888,40,1,InfoNCE,0.0
205,0.8888888888888888,40,1,MINE,0.5269526924605099
206,0.8888888888888888,40,1,KSG,0.1484588641472318
207,0.8888888888888888,40,1,LMI,0.7321012840678274
208,0.8888888888888888,40,1,LMI-InfoNCE,0.9982506330745374
