,True MI,Ambient dimensions,Intrinsic dimensions,Estimator,Estimate,Transformation
138,2.0,1000,7,KSG,-0.010096602976266529,Half cube
139,2.0,1000,7,LMI,0.733104657119524,Half cube
140,0.0,1000,8,InfoNCE,0.00015822403879378394,Half cube
141,0.0,1000,8,MINE,1.7198265086280863e-07,Half cube
142,0.0,1000,8,KSG,0.05841856557107531,Half cube
143,0.0,1000,8,LMI,-0.033904821554371196,Half cube
144,0.5,1000,8,InfoNCE,0.0011151355081944513,Half cube
145,0.5,1000,8,MINE,0.0,Half cube
146,0.5,1000,8,KSG,-0.006943638933923692,Half cube
147,0.5,1000,8,LMI,0.1612863955807747,Half cube
148,1.0,1000,8,InfoNCE,0.0,Half cube
149,1.0,1000,8,MINE,4.299566271570216e-07,Half cube
150,1.0,1000,8,KSG,-0.022144354919247468,Half cube
151,1.0,1000,8,LMI,0.36865641965582013,Half cube
152,1.5,1000,8,InfoNCE,0.0,Half cube
153,1.5,1000,8,MINE,0.0028884056255781554,Half cube
154,1.5,1000,8,KSG,0.0043752291162860325,Half cube
155,1.5,1000,8,LMI,0.5268417153467349,Half cube
156,2.0,1000,8,InfoNCE,0.0,Half cube
157,2.0,1000,8,MINE,0.0014431064233898273,Half cube
158,2.0,1000,8,KSG,0.03403132932326997,Half cube
159,2.0,1000,8,LMI,0.668468230470148,Half cube
160,0.0,1000,9,InfoNCE,3.439653017256173e-06,Half cube
161,0.0,1000,9,MINE,3.4396530172561726e-07,Half cube
162,0.0,1000,9,KSG,-0.001593695795144206,Half cube
163,0.0,1000,9,LMI,0.002053840802093877,Half cube
164,0.5,1000,9,InfoNCE,0.0,Half cube
165,0.5,1000,9,MINE,2.149783135785108e-07,Half cube
166,0.5,1000,9,KSG,-0.019060925506161924,Half cube
167,0.5,1000,9,LMI,0.1472437922586422,Half cube
168,1.0,1000,9,InfoNCE,0.0,Half cube
169,1.0,1000,9,MINE,1.7198265086280863e-07,Half cube
170,1.0,1000,9,KSG,-0.07077769385399034,Half cube
171,1.0,1000,9,LMI,0.2464378435841119,Half cube
172,1.5,1000,9,InfoNCE,0.0,Half cube
173,1.5,1000,9,MINE,0.0018089995131004527,Half cube
174,1.5,1000,9,KSG,-0.020431656193052945,Half cube
175,1.5,1000,9,LMI,0.40193481738714343,Half cube
176,2.0,1000,9,InfoNCE,0.0,Half cube
177,2.0,1000,9,MINE,5.159479525884259e-07,Half cube
178,2.0,1000,9,KSG,0.013014051467165834,Half cube
179,2.0,1000,9,LMI,0.5782200342801341,Half cube
180,0.0,1000,1,InfoNCE,0.0,None
181,0.0,1000,1,MINE,0.0,None
182,0.0,1000,1,KSG,-0.03720716826922882,None
183,0.0,1000,1,LMI,-0.029769088576698174,None
184,0.5,1000,1,InfoNCE,0.0,None
185,0.5,1000,1,MINE,0.0,None
186,0.5,1000,1,KSG,-0.0193111031949293,None
187,0.5,1000,1,LMI,0.41155058981561377,None
188,1.0,1000,1,InfoNCE,0.0,None
189,1.0,1000,1,MINE,0.0022186621874556627,None
190,1.0,1000,1,KSG,0.026850608931823672,None
191,1.0,1000,1,LMI,0.8107336194793169,None
192,1.5,1000,1,InfoNCE,0.0,None
193,1.5,1000,1,MINE,5.503444827609876e-06,None
194,1.5,1000,1,KSG,0.04431971887929228,None
195,1.5,1000,1,LMI,1.3343191747046357,None
196,2.0,1000,1,InfoNCE,0.0,None
197,2.0,1000,1,MINE,2.751722413804938e-06,None
198,2.0,1000,1,KSG,0.0048756136565497885,None
199,2.0,1000,1,LMI,1.611473926199171,None
200,0.0,1000,2,InfoNCE,4.265169741397654e-05,None
201,0.0,1000,2,MINE,1.1006889655219752e-05,None
202,0.0,1000,2,KSG,-0.03367041033845092,None
203,0.0,1000,2,LMI,0.06005684945926187,None
204,0.5,1000,2,InfoNCE,0.0,None
205,0.5,1000,2,MINE,0.0,None
206,0.5,1000,2,KSG,0.012379591549349128,None
207,0.5,1000,2,LMI,0.41720779629349247,None
208,1.0,1000,2,InfoNCE,0.0,None
209,1.0,1000,2,MINE,0.0,None
210,1.0,1000,2,KSG,0.0422825935427614,None
211,1.0,1000,2,LMI,0.9051657929939647,None
212,1.5,1000,2,InfoNCE,0.0,None
213,1.5,1000,2,MINE,0.0,None
214,1.5,1000,2,KSG,0.020123925705384176,None
215,1.5,1000,2,LMI,1.1999723411710301,None
216,2.0,1000,2,InfoNCE,0.0,None
217,2.0,1000,2,MINE,0.7527252391464486,None
218,2.0,1000,2,KSG,0.008787242337491863,None
219,2.0,1000,2,LMI,1.5900802846450808,None
220,0.0,1000,3,InfoNCE,0.000912195980176337,None
221,0.0,1000,3,MINE,1.2898698814710649e-07,None
222,0.0,1000,3,KSG,0.019953434033191157,None
223,0.0,1000,3,LMI,-0.02500728328347116,None
224,0.5,1000,3,InfoNCE,0.0,None
225,0.5,1000,3,MINE,0.0,None
226,0.5,1000,3,KSG,-0.030635756939818883,None
227,0.5,1000,3,LMI,0.4386368284497005,None
228,1.0,1000,3,InfoNCE,0.0,None
229,1.0,1000,3,MINE,0.0028755499224261604,None
230,1.0,1000,3,KSG,-0.05862542382020259,None
231,1.0,1000,3,LMI,0.762210760259576,None
232,1.5,1000,3,InfoNCE,0.0,None
233,1.5,1000,3,MINE,0.018848524612634945,None
234,1.5,1000,3,KSG,-0.02045812991976669,None
235,1.5,1000,3,LMI,1.0926441323649725,None
236,2.0,1000,3,InfoNCE,0.0,None
237,2.0,1000,3,MINE,0.0,None
238,2.0,1000,3,KSG,0.022490181242276832,None
239,2.0,1000,3,LMI,1.3669769661149362,None
240,0.0,1000,4,InfoNCE,0.0,None
241,0.0,1000,4,MINE,0.0,None
242,0.0,1000,4,KSG,0.028787662447232666,None
