,SPRING1,SPRING2,pMI
88481,891.0,1529.855,1.201920637477936
100710,-140.394,780.343,0.620180185250954
50615,1329.62,760.547,1.2330892222130456
99571,-145.81,1112.564,0.7297947202391372
84524,-64.644,698.848,0.28888775627123997
105107,-767.773,-542.542,1.4282903926786648
83820,533.466,-169.02,1.044694536959707
96694,89.207,48.019,0.5445931421344841
85058,192.435,-168.631,0.5551779672049066
86501,1267.731,-203.259,0.7459703592973167
27562,-1051.542,-1181.748,1.8224599356023408
21154,317.764,7.279,0.39320237202586905
12200,-560.648,-891.384,0.6997177790791017
63918,1352.07,-2207.029,1.51250735806999
91984,206.995,-479.276,-0.247001258623127
105102,-15.492,528.388,0.04486079895147961
27378,-1032.777,-1278.365,1.4603059595157841
68465,2299.704,-219.556,0.6723968147447761
100143,-17.163,498.706,0.531859323026495
52321,106.325,576.649,0.6980934028403818
91618,176.132,224.596,0.4924913417482296
92630,310.686,-250.307,0.9051385891776806
63318,875.453,-1870.139,1.2246650683116462
62736,2907.22,75.141,0.6586437105386489
98862,-27.133,501.132,0.34737740587905563
83224,546.465,169.52,0.3071038625921715
107610,586.356,198.193,0.705292064570842
28465,1158.209,-153.198,0.4936001117080277
10254,672.02,-1174.02,0.7814264142295494
51885,124.832,1476.59,0.22564465967852043
109569,303.623,400.674,0.11681029488167342
18054,-707.272,233.027,1.0783986937923626
69251,610.911,1303.098,1.1452221256904895
83397,331.34,-609.846,1.0970039321376288
67285,-1614.246,-853.618,1.4495702427994057
105432,175.037,-59.865,0.05693877689127136
64990,2943.834,436.053,1.9691637665132202
94021,-116.977,417.238,0.07803240036123187
47990,219.095,682.487,-0.5432479855180822
68029,-983.325,-1955.293,2.407559738522301
20524,715.655,-1456.133,0.40419651698518033
97330,188.322,-409.484,0.3625732288197181
11796,2499.422,-317.24,1.6706508128011464
100539,-1046.672,-1372.683,0.8373455627083433
62535,-1039.508,-1658.638,1.0344396879467301
103478,109.654,438.522,0.3914798269056029
29110,2358.38,-348.375,1.0756207615041906
45294,445.71,1050.936,0.2358423720664594
65948,433.603,-479.653,-0.03547625922595323
96948,-20.081,630.191,0.3400735064349733
26142,-1540.155,593.301,1.393870892025805
69322,1083.533,-221.292,-0.1746655099910807
26552,1533.831,-229.931,-0.3442732207288338
92386,7.374,596.728,1.3579580110830252
24650,732.245,-95.339,0.022018591116332576
83294,-168.833,83.635,0.9388390358804809
48773,132.438,41.449,0.7929570076095401
16679,-511.142,98.406,0.610115153320053
84732,390.941,416.497,0.6393661363054293
