,Estimator,Sample number,True MI,Estimate,Ambient dimensions,Intrinsic dimensions
1372,InfoNCE,9000,1,0.8494512056967568,37,1
1373,LMI,9000,1,0.9564364602315125,37,1
1374,MINE,9000,1,0.8473592087316616,37,1
1375,KSG,9000,1,0.1903132624834875,37,1
1376,InfoNCE,9000,1,0.7693017869498604,50,1
1377,LMI,9000,1,0.8960267592360973,50,1
1378,MINE,9000,1,0.8175006987760914,50,1
1379,KSG,9000,1,0.10341660674784091,50,1
1380,InfoNCE,10000,1,1.0089355333560635,1,1
1381,LMI,10000,1,0.9834393295421241,1,1
1382,MINE,10000,1,0.9962319488587567,1,1
1383,KSG,10000,1,1.0003414678570257,1,1
1384,InfoNCE,10000,1,0.9692928444015826,13,1
1385,LMI,10000,1,0.9539253386804849,13,1
1386,MINE,10000,1,0.9264138719144909,13,1
1387,KSG,10000,1,0.515276041604896,13,1
1388,InfoNCE,10000,1,0.9184685314186054,25,1
1389,LMI,10000,1,0.9795802505300755,25,1
1390,MINE,10000,1,0.8816837641648373,25,1
1391,KSG,10000,1,0.2586574312338537,25,1
1392,InfoNCE,10000,1,0.8796823160654214,37,1
1393,LMI,10000,1,0.9443456188126383,37,1
1394,MINE,10000,1,0.8817669177765294,37,1
1395,KSG,10000,1,0.1779860520840405,37,1
1396,InfoNCE,10000,1,0.8898822631227927,50,1
1397,LMI,10000,1,0.9454105134939959,50,1
1398,MINE,10000,1,0.9091818982286408,50,1
1399,KSG,10000,1,0.16724518512466488,50,1
1400,InfoNCE,1000,1,0.910087472876759,1,1
1401,LMI,1000,1,0.9528215749274437,1,1
1402,MINE,1000,1,0.9624551581685791,1,1
1403,KSG,1000,1,0.9333798851010928,1,1
1404,InfoNCE,1000,1,-0.07478356003997681,13,1
1405,LMI,1000,1,0.9105636720598531,13,1
1406,MINE,1000,1,0.5761525433147624,13,1
1407,KSG,1000,1,0.37543447771118865,13,1
1408,InfoNCE,1000,1,-1.112467025383664,25,1
1409,LMI,1000,1,0.9672488313366736,25,1
1410,MINE,1000,1,-0.8059777751769578,25,1
1411,KSG,1000,1,0.20437111661658877,25,1
1412,InfoNCE,1000,1,-1.9024156735349063,37,1
1413,LMI,1000,1,0.9242034657388053,37,1
1414,MINE,1000,1,-1.6215772917390863,37,1
1415,KSG,1000,1,0.0756062889845981,37,1
1416,InfoNCE,1000,1,-6.680338617798559,50,1
1417,LMI,1000,1,0.9094380670223163,50,1
1418,MINE,1000,1,-0.3478675880736944,50,1
1419,KSG,1000,1,0.1381075113815774,50,1
1420,InfoNCE,2000,1,1.0246375493798379,1,1
1421,LMI,2000,1,1.0912565775703782,1,1
1422,MINE,2000,1,0.9952601608900563,1,1
1423,KSG,2000,1,1.05008978368866,1,1
1424,InfoNCE,2000,1,0.5597189130942176,13,1
1425,LMI,2000,1,0.9616060226274658,13,1
1426,MINE,2000,1,0.7373945336658869,13,1
1427,KSG,2000,1,0.3914656208917746,13,1
1428,InfoNCE,2000,1,-0.03850003622214834,25,1
1429,LMI,2000,1,0.8927395872070688,25,1
1430,MINE,2000,1,0.6452034056535293,25,1
1431,KSG,2000,1,0.21055168153137557,25,1
1432,InfoNCE,2000,1,-0.4880688769529612,37,1
1433,LMI,2000,1,0.938989110721265,37,1
1434,MINE,2000,1,0.6994352968893767,37,1
1435,KSG,2000,1,0.18453328102605834,37,1
1436,InfoNCE,2000,1,-0.4647445898429471,50,1
1437,LMI,2000,1,0.8495942062890862,50,1
1438,MINE,2000,1,0.28116532081511014,50,1
1439,KSG,2000,1,0.09916605785590472,50,1
1440,InfoNCE,3000,1,1.0618270778024117,1,1
1441,LMI,3000,1,1.0177935091669594,1,1
1442,MINE,3000,1,1.0477301758591397,1,1
1443,KSG,3000,1,1.019862820581625,1,1
1444,InfoNCE,3000,1,0.6917094062559922,13,1
1445,LMI,3000,1,0.9302027181409421,13,1
1446,MINE,3000,1,0.73473808964066,13,1
1447,KSG,3000,1,0.44296118816849894,13,1
1448,InfoNCE,3000,1,0.6308605685195235,25,1
1449,LMI,3000,1,0.9687037217415855,25,1
1450,MINE,3000,1,0.8468057685611851,25,1
1451,KSG,3000,1,0.26382739092198243,25,1
1452,InfoNCE,3000,1,0.4130452291323799,37,1
1453,LMI,3000,1,0.8778495309927177,37,1
1454,MINE,3000,1,0.7683840875248564,37,1
1455,KSG,3000,1,0.13295162561189583,37,1
1456,InfoNCE,3000,1,0.07286629744815822,50,1
1457,LMI,3000,1,0.8081355977856335,50,1
1458,MINE,3000,1,0.7477995700344123,50,1
1459,KSG,3000,1,0.0959149349997086,50,1
1460,InfoNCE,4000,1,0.9999896837887836,1,1
1461,LMI,4000,1,0.9391810842365982,1,1
1462,MINE,4000,1,0.9585724778427003,1,1
1463,KSG,4000,1,0.9857128808057526,1,1
1464,InfoNCE,4000,1,0.8648649787976852,13,1
1465,LMI,4000,1,0.9932827529990387,13,1
1466,MINE,4000,1,0.9090553189976058,13,1
1467,KSG,4000,1,0.48086570035831533,13,1
1468,InfoNCE,4000,1,0.7473107093493347,25,1
1469,LMI,4000,1,0.980012441255258,25,1
1470,MINE,4000,1,0.826060791257486,25,1
1471,KSG,4000,1,0.2554654335585564,25,1
1472,InfoNCE,4000,1,0.3860384495020913,37,1
1473,LMI,4000,1,0.8863135640617131,37,1
1474,MINE,4000,1,0.8321524167510467,37,1
1475,KSG,4000,1,0.11508704246603148,37,1
1476,InfoNCE,4000,1,0.5087962260349469,50,1
1477,LMI,4000,1,0.8702950333446728,50,1
1478,MINE,4000,1,0.7762160054624979,50,1
1479,KSG,4000,1,0.12571999725873456,50,1
1480,InfoNCE,5000,1,0.9960175724844561,1,1
1481,LMI,5000,1,0.9955975051311321,1,1
1482,MINE,5000,1,0.9990134242711608,1,1
1483,KSG,5000,1,0.9865274525082152,1,1
1484,InfoNCE,5000,1,0.8990166056754183,13,1
1485,LMI,5000,1,0.9669864779232062,13,1
1486,MINE,5000,1,0.909492068939472,13,1
1487,KSG,5000,1,0.48586071954324306,13,1
1488,InfoNCE,5000,1,0.8602902402847344,25,1
1489,LMI,5000,1,0.9215682432140584,25,1
1490,MINE,5000,1,0.8697523817699044,25,1
1491,KSG,5000,1,0.25779986776232,25,1
1492,InfoNCE,5000,1,0.7330932475678081,37,1
1493,LMI,5000,1,0.9445401593336388,37,1
1494,MINE,5000,1,0.8050236154299709,37,1
1495,KSG,5000,1,0.18510655825110756,37,1
1496,InfoNCE,5000,1,0.5579646900554169,50,1
1497,LMI,5000,1,0.9447231660955353,50,1
1498,MINE,5000,1,0.8515763953134685,50,1
1499,KSG,5000,1,0.12105599211342041,50,1
1500,InfoNCE,6000,1,0.9789431349067965,1,1
1501,LMI,6000,1,1.0176768460588308,1,1
1502,MINE,6000,1,1.0250007767384601,1,1
1503,KSG,6000,1,1.0055727501934586,1,1
1504,InfoNCE,6000,1,0.9157945451629904,13,1
1505,LMI,6000,1,1.0011231377522287,13,1
1506,MINE,6000,1,0.9215832232170563,13,1
1507,KSG,6000,1,0.5050477337115703,13,1
1508,InfoNCE,6000,1,0.8324717025423735,25,1
1509,LMI,6000,1,0.8985767853669883,25,1
1510,MINE,6000,1,0.912051858714914,25,1
1511,KSG,6000,1,0.24668926101470584,25,1
1512,InfoNCE,6000,1,0.783639636586991,37,1
1513,LMI,6000,1,0.9239516337138095,37,1
1514,MINE,6000,1,0.8407586005828724,37,1
